Date,Year,Month,Rainfall_mm,P_3month,P_6month,SPI_3,SPI_6,SPI3_Class,SPI6_Class
2013-03-01,2013,3,22.774581755035356,26.148591763575972,141.57729458634907,1.5212620275803062,1.4143619173909607,Severely Wet,Moderately Wet
2013-04-01,2013,4,38.215761915139225,63.00941002314687,68.54285395637457,0.475248610620708,0.5303771399341093,Near Normal,Near Normal
2013-05-01,2013,5,64.95507982863212,125.94542349880653,129.74612126738836,-1.2499216971152167,-1.2040039468733623,Moderately Dry,Moderately Dry
2013-06-01,2013,6,125.61269906033587,228.78354080410705,254.93213256768337,-1.675063570931638,-1.3495150437194263,Severely Dry,Moderately Dry
2013-07-01,2013,7,175.37489261218644,365.9426715011543,428.9520815243015,-2.0612815814661416,-1.681897123879116,Extremely Dry,Severely Dry
2013-08-01,2013,8,207.31658216527666,508.3041738377988,634.2495973366057,-1.8750058884954897,-2.1928658169056248,Severely Dry,Extremely Dry
2013-09-01,2013,9,175.40421150779966,558.0956862852626,786.87922708937,-1.7310897925848292,-2.250897842486475,Severely Dry,Extremely Dry
2013-10-01,2013,10,64.78104007085945,447.5018337439356,813.4445052450901,-1.327534532241019,-2.0756430170035047,Moderately Dry,Extremely Dry
2013-11-01,2013,11,2.174920607342594,242.36017218600153,750.6643460238007,-0.853328917973183,-1.6340530240435802,Near Normal,Severely Dry
2013-12-01,2013,12,1.4992550099402113,68.45521568814208,626.550901973405,-0.5107421446790481,-1.5512893654783806,Near Normal,Severely Dry
2014-01-01,2014,1,1.577749170657128,5.251924787939763,452.7537585318757,0.46526648572143564,-1.2945011259693056,Near Normal,Moderately Dry
2014-02-01,2014,2,1.5652705293332663,4.642274709930435,247.0024468959323,0.9000953043415753,-0.8049120279068483,Near Normal,Near Normal
2014-03-01,2014,3,22.2632358907288,25.406255590719024,93.86147127886144,1.4354037756167224,-0.15010339656116925,Moderately Wet,Near Normal
2014-04-01,2014,4,57.14188398255051,80.97039040261241,86.22231519055251,1.690676484830949,1.7219807103008218,Severely Wet,Severely Wet
2014-05-01,2014,5,110.97415124165938,190.37927111493855,195.0215458248693,1.364123102747417,1.4384990004683722,Moderately Wet,Moderately Wet
2014-06-01,2014,6,121.45869952054089,289.57473474475063,314.98099033547,0.3400052317564275,0.6493616879416115,Near Normal,Near Normal
